display_name,pollster_id,pollster,sponsor_ids,sponsors
St. Pete Polls,1357,St. Pete Polls,972,Florida Politics
Change Research,1365,Change Research,NA,NA
Change Research,1365,Change Research,948,Health Care Voter
Siena College/New York Times,1424,Siena College,134,New York Times
University of New Hampshire,525,University of New Hampshire,NA,NA
Emerson College,1102,Emerson College,NA,NA
JMC Analytics / Bold Blue Campaigns,1469,JMC Analytics / Bold Blue Campaigns,NA,NA
Optimus,1240,Optimus,NA,NA
Gravis Marketing,801,Gravis Marketing,NA,NA
SurveyUSA,460,SurveyUSA,443804,KGTV-TV (California) | San Diego Union-Tribune
"Research & Polling, Inc.",402,Research & Polling Inc.,155,Albuquerque Journal
Thomas Part­ners Strategies,1283,Thomas Part­ners Strategies,NA,NA
"Susquehanna Polling & Research, Inc.",461,Susquehanna Polling & Research Inc.,657,ABC27 News
Dixie Strategies,753,Dixie Strategies,1109,WHEC-TV
Fox News,590,Fox News/Anderson Robbins Research/Shaw & Co. Research,NA,NA
SoonerPoll.com,441,SoonerPoll.com,204,KWTV-DT Oklahoma City
Carroll Strategies,1409,Carroll Strategies,715,KOB-TV (Albuquerque)
Ivan Moore Research,1334,Ivan Moore Research,NA,NA
SurveyUSA,460,SurveyUSA,761,WNYT-TV
Monmouth University,320,Monmouth University,NA,NA
Tulchin Research,495,Tulchin Research,NA,NA
Anzalone Liszt Grove Research,933,Anzalone Liszt Grove Research,451,DCCC
Washington Post/George Mason,1460,ABC News/Washington Post,NA,NA
SurveyUSA,460,SurveyUSA,158,Civitas Institute
DeSales University,1461,DeSales University,1079,WFMZ-TV
Christopher Newport University,94,Christopher Newport University,NA,NA
Dixie Strategies,753,Dixie Strategies,1106,KUTV 2News
DFM Research,788,DFM Research,789,SMART Transportation Division
"Susquehanna Polling & Research, Inc.",461,Susquehanna Polling & Research Inc.,11071108,WBRE-TV | WYOU-TV
WPA Intelligence,1418,Wilson Perkins Allen Opinion Research,NA,NA
Jayhawk Consulting,1239,Jayhawk Consulting,NA,NA
Stockton University,914,Stockton University,NA,NA
GBA Strategies,907,GBA Strategies,NA,NA
Thirty-Ninth Street Strategies,1259,Thirty-Ninth Street Strategies,NA,NA
"Mason-Dixon Polling & Research, Inc.",289,Mason-Dixon Polling & Research Inc.,332333,Argus Leader | KELO-TV
Siena College,438,Siena College,9791100,Spectrum News | Syracuse.com
Change Research,1365,Change Research,1101,Fight Back CA PAC
WPA Intelligence,1418,Wilson Perkins Allen Opinion Research,1072,Club For Growth Action
SurveyUSA,460,SurveyUSA,841102,KSTP-TV Minneapolis | KAAL-TV
Strategic Research Associates,1455,Strategic Research Associates,1066,Gray Television
Hendrix College,211,Hendrix College,1002,Talk Business & Politics
Remington Research Group,1056,Remington Research Group,NA,NA
American Viewpoint,24,American Viewpoint,1093,Arizona Grassroots Advocates
Greenberg Quinlan Rosner,187,Greenberg Quinlan Rosner (Democracy Corps),NA,NA
Muhlenberg College,329,Muhlenberg College,269,Morning Call
University of Montana,506,University of Montana,NA,NA
Target Insyght,1166,Target Insyght,138801,Fox 2 News Detroit | MIRS News Service
Public Opinion Strategies,379,Public Opinion Strategies,452,NRCC
University of Utah,1410,University of Utah,431,The Salt Lake Tribune
Clarity Campaign Labs,921,Clarity Campaign Labs,NA,NA
Public Policy Polling,383,Public Policy Polling,NA,NA
TargetPoint,467,TargetPoint,920,REP
Lake Research Partners,940,Lake Research Partners,NA,NA
Siena College,438,Siena College,979,Spectrum News
VCreek/AMG,1425,VCreek/AMG,NA,NA
McLaughlin & Associates,294,McLaughlin & Associates,NA,NA
St. Anselm,446,St. Anselm,47,WMUR
Anzalone Liszt Grove Research,933,Anzalone Liszt Grove Research,NA,NA
SurveyUSA,460,SurveyUSA,284385,Bay News 9 | News 13
Global Strategy Group,178,Global Strategy Group,1011,Giffords
Braun Research,67,Braun Research,4751094,Vermont Public Radio | Vermont PBS
The Polling Company Inc.,1187,The Polling Company Inc.,209,Citizens United Political Victory Fund
The Polling Company Inc.,482,The Polling Company Inc.,NA,NA
Clarity Campaign Labs,921,Clarity Campaign Labs,681,End Citizens United
Harper Polling,988,Harper Polling,452,NRCC
Montana State University Billings,328,Montana State University Billings,NA,NA
Public Policy Polling,383,Public Policy Polling,1090,The Great Slate
Patinkin Research Strategies,1422,Patinkin Research Strategies,NA,NA
Global Strategy Group,178,Global Strategy Group,681,End Citizens United
University of Utah,1410,University of Utah,703,Salt Lake Tribune-Hinckley Institute
Go Right Strategies,1456,Go Right Strategies,NA,NA
DCCC Targeting Team,1359,DCCC Targeting Team,451,DCCC
Mellman Group,299,Mellman Group,NA,NA
Elway Research,140,Elway Research,755,Crosscut
"Mason-Dixon Polling & Research, Inc.",289,Mason-Dixon Polling & Research Inc.,320,Telemundo
Public Opinion Strategies,379,Public Opinion Strategies,NA,NA
Moore Information,324,Moore Information,452,NRCC
SurveyUSA,460,SurveyUSA,979,Spectrum News
Pan Atlantic SMS Group,365,Pan Atlantic SMS Group,NA,NA
MSU - Bozeman,1472,MSU - Bozeman,1098,Montana Television Network
WPA Intelligence,1418,Wilson Perkins Allen Opinion Research,26,Club for Growth
The Polling Company Inc.,482,The Polling Company Inc.,452,NRCC
GS Strategy Group,194,GS Strategy Group,762,Congressional Leadership Fund
"National Research, Inc.",334,National Research Inc.,NA,NA
Meeting Street Research,1231,Meeting Street Research,NA,NA
University of North Florida,509,University of North Florida,NA,NA
Garin-Hart-Yang Research Group,172,Garin-Hart-Yang Research Group,NA,NA
Tarrance Group,468,Tarrance Group,NA,NA
WPA Intelligence,1418,Wilson Perkins Allen Opinion Research,452,NRCC
American Viewpoint,24,American Viewpoint,762,Congressional Leadership Fund
GBA Strategies,907,GBA Strategies,451,DCCC
Victoria Research & Consulting,1380,Victoria Research & Consulting,NA,NA
Global Strategy Group,178,Global Strategy Group,NA,NA
SurveyUSA,460,SurveyUSA,84,KSTP-TV Minneapolis
OnMessage Inc.,356,OnMessage Inc.,NA,NA
Bold Blue Campaigns,1454,Bold Blue Campaigns,NA,NA
Strategic Research Associates,1455,Strategic Research Associates,9471066,Valley News Live | Gray Television
American Research Group,23,American Research Group,NA,NA
OH Predictive Insights / MBQF,1293,OH Predictive Insights/MBQF,NA,NA
Public Policy Polling,383,Public Policy Polling,918,DEM
SurveyUSA,460,SurveyUSA,1037,KFSN-TV Fresno
SoonerPoll.com,441,SoonerPoll.com,1008,KWTV-TV/KOTV-TV
GBA Strategies,907,GBA Strategies,681,End Citizens United
"Normington, Petts & Associates",1107,"Normington, Petts & Associates",681,End Citizens United
UC Berkeley,1363,UC Berkeley,300,LA Times
"Fairbank, Maslin, Maullin, Metz & Associates",1244,"Fairbank, Maslin, Maullin, Metz & Associates",NA,NA
St. Pete Polls,1357,St. Pete Polls,NA,NA
Public Policy Polling,383,Public Policy Polling,946,Protect Our Care
Pulse Opinion Research,393,Pulse Opinion Research,1054,United States Term Limits
Global Strategy Group,178,Global Strategy Group,1038,Taking Action Suffolk County
University of Delaware,499,University of Delaware,NA,NA
Benenson Strategy Group,57,Benenson Strategy Group,42,AARP
Siena College/New York Times,1424,Siena College,NA,NA
Public Policy Polling,383,Public Policy Polling,111,Progressive Change Campaign Committee
Tarrance Group,468,Tarrance Group,452,NRCC
Strategies 360,603,Strategies 360,NA,NA
Expedition Strategies,1307,Expedition Strategies,NA,NA
Y2 Analytics,1243,Y2 Analytics,NA,NA
"Fabrizio, Lee & Associates",147,"Fabrizio, Lee & Associates",762,Congressional Leadership Fund
Dan Jones & Associates,120,Dan Jones & Associates,953,Utah Policy
Public Policy Polling,383,Public Policy Polling,998,Michigan Families for Economic Prosperity
Public Policy Polling,383,Public Policy Polling,681,End Citizens United
Bendixen & Amandi International,1329,Bendixen & Amandi International,NA,NA
Trafalgar Group,1250,Trafalgar Group,NA,NA
Axis Research,1411,Axis Research,NA,NA
Lighthouse Research,1378,Lighthouse Research,1007,Utah Debate Comission
Harper Polling,988,Harper Polling,NA,NA
SurveyUSA,460,SurveyUSA,NA,NA
Remington Research Group,1056,Remington Research Group,421,Missouri Scout
Siena College,438,Siena College,NA,NA
Lincoln Park Strategies,1421,Lincoln Park Strategies,NA,NA
Tulchin Research,495,Tulchin Research,451,DCCC
Clout Research/Wenzel Strategies,1305,Clout Research/Wenzel Strategies,NA,NA
Tel Opinion Research,473,Tel Opinion Research,NA,NA
Blink Insights,1452,Blink Insights,NA,NA
Triumph Campaigns,1285,Triumph Campaigns,482,Y'all Politics
Public Policy Polling,383,Public Policy Polling,961,Speak Out Central New York
Victory Research,1195,Victory Research,NA,NA
Olive Tree Strategies,1417,Olive Tree Strategies,NA,NA
IMGE Insights,1364,IMGE Insights,NA,NA
Change Research,1365,Change Research,797973,314 PAC | 314 Action
Dan Jones & Associates,120,Dan Jones & Associates,484,IdahoPoliticsWeekly.com
Garin-Hart-Yang Research Group,172,Garin-Hart-Yang Research Group,451,DCCC
Feldman Group,150,Feldman Group,NA,NA
Global Strategy Group,178,Global Strategy Group,22687,League of Conservation Voters | EDF Action
University of Utah,1410,University of Utah,430703,Hinckley Institute of Politics | Salt Lake Tribune-Hinckley Institute
Carroll Strategies,1409,Carroll Strategies,NA,NA
"Mason-Dixon Polling & Research, Inc.",289,Mason-Dixon Polling & Research Inc.,947,Valley News Live
"Normington, Petts & Associates",1107,"Normington, Petts & Associates",NA,NA
Public Policy Polling,383,Public Policy Polling,1011,Giffords
NRCC,1385,NRCC,452,NRCC
Zogby Interactive/JZ Analytics,573,Zogby Interactive/JZ Analytics,NA,NA
GBA Strategies,907,GBA Strategies,447,House Majority PAC
Public Policy Polling,383,Public Policy Polling,971,Patriot Majority USA
Elway Research,140,Elway Research,965966967968969,The Spokesman-Review | KHQ-TV | Walla Walla Union-Bulletin | Spokane Public Radio | Lewiston Tribune
Target Insyght,1166,Target Insyght,801,MIRS News Service
"Fairbank, Maslin, Maullin, Metz & Associates",1244,"Fairbank, Maslin, Maullin, Metz & Associates",988,CA-BAM! PAC
Dan Jones & Associates,120,Dan Jones & Associates,431,The Salt Lake Tribune
Dan Jones & Associates,120,Dan Jones & Associates,431703,The Salt Lake Tribune | Salt Lake Tribune-Hinckley Institute
JMC Analytics / Bold Blue Campaigns,1469,JMC Analytics / Bold Blue Campaigns,460,Red Racing Horses
Mitchell Research & Communications,317,Mitchell Research & Communications,NA,NA
Harris Interactive,1416,Harris Interactive,747,Auto Alliance
Quinnipiac University,396,Quinnipiac University,NA,NA
Research Co.,1478,Research Co.,NA,NA
Change Research,1365,Change Research,1112,Reason to Believe PAC
SurveyUSA,460,SurveyUSA,443448583804,KGTV-TV (California) | KPIX-TV (California) | KABC-TV (California) | San Diego Union-Tribune
Marist College,1205,Marist College,132,NBC News
Cygnal,1347,Cygnal,NA,NA
Targoz Market Research,1477,Targoz Market Research,NA,NA
Vox Populi Polling,537,Vox Populi Polling,NA,NA
Probolsky Research,1238,Probolsky Research,NA,NA
Research America Inc.,1253,Research America Inc.,945,West Virginia MetroNews
CNN/SSRS,1361,SSRS,143,CNN
East Tennessee State University,1476,East Tennessee State University,1110,East Tennessee State University
HighGround,1337,HighGround,NA,NA
Suffolk University,458,Suffolk University,135,USA Today
MassINC Polling Group,290,MassINC Polling Group,83,WBUR
Suffolk University,458,Suffolk University,68,Boston Globe
Marquette Law School,1075,Marquette University Law School,NA,NA
Franklin & Marshall College,1114,Franklin & Marshall College,NA,NA
University of Texas - Tyler,1474,University of Texas - Tyler,NA,NA
"Glengariff Group, Inc.",176,Glengariff Group Inc.,167168,Detroit News | WDIV-TV
Baldwin Wallace University,1246,Baldwin Wallace University,NA,NA
Western New England University,759,Western New England University,NA,NA
Dixie Strategies,753,Dixie Strategies,384,KTVT-CBS 11
YouGov,568,YouGov,133,CBS News
Ipsos,744,Ipsos,1084,Reuters/UVA Center for Politics
Mitchell Research & Communications,317,Mitchell Research & Communications,801,MIRS News Service
UC Berkeley,1363,UC Berkeley,NA,NA
Fleming & Associates,153,Fleming & Associates,298,WPRI-TV
Pacific Market Research,1473,Pacific Market Research,1104,KRQE-TV
YouGov,568,YouGov,603,Stanford University
EPIC-MRA,143,EPIC-MRA,177683684685,Detroit Free Press | WLNS TV 6 | WOOD TV 8 | WJRT (ABC) TV 12
Saint Leo University,1027,Saint Leo University,NA,NA
Michigan State University,306,Michigan State University,NA,NA
Florida Atlantic University,1218,Florida Atlantic University,NA,NA
YouGov,568,YouGov,216406,Texas Tribune | University of Texas
Public Policy Institute of California,382,Public Policy Institute of California,NA,NA
"Schroth, Eldon & Associates",828,"Schroth, Eldon & Associates",487,Christian Ulvert
Mason Strategies,1471,Mason Strategies,1096,IndyPolitics.org
Strategic Research Associates,1455,Strategic Research Associates,NA,NA
Rutgers University,424,Rutgers University,NA,NA
"Fabrizio, Lee & Associates",147,"Fabrizio, Lee & Associates",27,NRSC
OnMessage Inc.,356,OnMessage Inc.,920,REP
Marketing Resource Group (MRG),326,Marketing Resource Group (MRG),NA,NA
Data Orbital,1308,Data Orbital,NA,NA
"Mason-Dixon Polling & Research, Inc.",289,Mason-Dixon Polling & Research Inc.,1591026,Minneapolis Star Tribune | MPR News
American Viewpoint,24,American Viewpoint,NA,NA
SurveyUSA,460,SurveyUSA,411,Downs Center
Critical Insights,114,Critical Insights,NA,NA
Tulchin Research,495,Tulchin Research,236,MoveOn
USC Dornsife/LA Times,1300,USC Dornsife/LA Times,NA,NA
SSRS,1468,SSRS,396,Vanderbilt
Public Opinion Strategies,379,Public Opinion Strategies,27,NRSC
SocialSphere,961,SocialSphere,1015,GoLocalProv
Suffolk University,458,Suffolk University,1010,Cincinnati Enquirer
University of Massachusetts Lowell,1234,University of Massachusetts Lowell,68,Boston Globe
Mitchell Research & Communications,317,Mitchell Research & Communications,1088,Michigan Chamber of Commerce
Ipsos,744,Ipsos,711027,Reuters | U. Virginia Center for Politics
1st Tuesday Campaigns,1463,1st Tuesday Campaigns,NA,NA
Gonzales Research & Marketing Strategies Inc.,1232,Gonzales Research & Marketing Strategies Inc.,NA,NA
University of New Hampshire,525,University of New Hampshire,10771078,Rhode Island Public Radio | The Providence Journal and ABC6
Florida Southern College,1236,Florida Southern College,NA,NA
University of Akron,510,University of Akron,NA,NA
OH Predictive Insights / MBQF,1293,OH Predictive Insights/MBQF,1081,KNXV-TV
Morning Consult,1189,Morning Consult,42538,AARP | Politico
McLaughlin & Associates,294,McLaughlin & Associates,1069,Missouri Rising Action
Kaiser Family Foundation,800,Kaiser Family Foundation / PSRAI,NA,NA
Suffolk University,458,Suffolk University,743,The Arizona Republic
Self-Made Insights,1462,Self-Made Insights,NA,NA
Fairleigh Dickinson University (PublicMind),149,Fairleigh Dickinson University (PublicMind),NA,NA
"Mason-Dixon Polling & Research, Inc.",289,Mason-Dixon Polling & Research Inc.,1068,Leadership Florida/Florida Press Association
Tulchin Research,495,Tulchin Research,1064,Vermont Democratic Party
1892 Polling,1450,1892 Polling,NA,NA
Tarrance Group,468,Tarrance Group,623,Senate Leadership Fund PAC
Latino Decisions,1379,Latino Decisions,501,Arizona State
NSON Opinion Strategy,1019,NSON Opinion Strategy,1061,Elect Liberty PAC
Cherry Communications,750,Cherry Communications,12,Florida Chamber of Commerce
SurveyMonkey,1193,SurveyMonkey,132,NBC News
Ipsos,744,Ipsos,7110271084,Reuters | U. Virginia Center for Politics | Reuters/UVA Center for Politics
Triton Polling & Research,1008,Triton Polling & Research,1036,The Ohio Star
Axis Research,1411,Axis Research,27,NRSC
In Lux Research,1451,In Lux Research,1061,Elect Liberty PAC
Goucher College,1323,Goucher College,NA,NA
Target Insyght,1166,Target Insyght,NA,NA
Rasmussen Reports/Pulse Opinion Research,794,Rasmussen Reports/Pulse Opinion Research,NA,NA
TargetSmart,1408,TargetSmart,305,Progress Now Arizona
Chism Strategies,1015,Chism Strategies,1053,Reform Austin
Triton Polling & Research,1008,Triton Polling & Research,962,Tennessee Star
Rasmussen Reports/Pulse Opinion Research,399,Rasmussen Reports/Pulse Opinion Research,NA,NA
Morning Consult,1189,Morning Consult,981,Politico/AARP
Suffolk University,458,Suffolk University,542,Reno Gazette-Journal
Strategic National,741,Strategic National,975,WJML-AM
SurveyUSA,460,SurveyUSA,385,News 13
Rasmussen Reports/Pulse Opinion Research,1226,Rasmussen Reports/Pulse Opinion Research,NA,NA
CNN/SSRS,1361,SSRS,682,University of Mary Washington
"Glengariff Group, Inc.",176,Glengariff Group Inc.,1003,Detroit News/WDIV-TV
OH Predictive Insights / MBQF,1293,OH Predictive Insights/MBQF,980,ABC15 Arizona
Change Research,1365,Change Research,993,Innovation Ohio
Public Policy Polling,383,Public Policy Polling,487,Christian Ulvert
Liberty Opinion Research,1261,Liberty Opinion Research,996,The Reform Party
Neighborhood Research Corporation,1412,Neighborhood Research Corporation,990,Courageous Conservatives PAC
Harper Polling,988,Harper Polling,1005,35th PAC
Research America Inc.,1253,Research America Inc.,945987,West Virginia MetroNews | Dominion Post
Cygnal,1347,Cygnal,992,Poolhouse
Suffolk University,458,Suffolk University,1006,Milwaukee Journal Sentinel
WPA Intelligence,1418,Wilson Perkins Allen Opinion Research,27,NRSC
Suffolk University,458,Suffolk University,983,St. Cloud Times
Roanoke College,415,Roanoke College,NA,NA
Commonwealth Leaders Fund,1419,Commonwealth Leaders Fund,976,Commonwealth Leaders Fund
WPA Intelligence,1418,Wilson Perkins Allen Opinion Research,974,CFG Action Missouri
Suffolk University,458,Suffolk University,NA,NA
Greenberg Quinlan Rosner,187,Greenberg Quinlan Rosner (Democracy Corps),978,The Majority Institute
Virginia Commonwealth University,534,Virginia Commonwealth University,NA,NA
"Mason-Dixon Polling & Research, Inc.",289,Mason-Dixon Polling & Research Inc.,NA,NA
Texas Lyceum,610,Texas Lyceum,NA,NA
Public Policy Polling,383,Public Policy Polling,963,Duty and Country PAC
WPA Intelligence,1418,Wilson Perkins Allen Opinion Research,964,Committee to Defend the President
Remington Research Group,1056,Remington Research Group,706,Missouri Times
SurveyMonkey,1193,SurveyMonkey,788,Axios
SurveyUSA,460,SurveyUSA,954,KABC-TV/KFSN-TV/KGTV-TV/KPIX-TV/San Diego Union Tribune
BK Strategies,1348,BK Strategies,977,Outstate.us
Suffolk University,458,Suffolk University,950,York Daily Record
YouGov,568,YouGov,624,University of Texas/Texas Tribune
Public Policy Polling,383,Public Policy Polling,1009,Building Jobs And Opportunity
Global Strategy Group,178,Global Strategy Group,137,Senate Majority PAC
Greenberg Quinlan Rosner,187,Greenberg Quinlan Rosner (Democracy Corps),681,End Citizens United
America First Policies,1373,America First Policies,1063,America First Action PAC
Baselice & Associates Inc.,47,Baselice & Associates Inc.,956,Texans for Lawsuit Reform PAC
Fallon Research & Communications,1407,Fallon Research & Communications,942,1984 Society
JMC Enterprises,621,JMC Enterprises,1012,Red Metrics Group
Garin-Hart-Yang Research Group,204,Garin-Hart-Yang Research Group,451,DCCC
TJP Strategies,1420,TJP Strategies,421,Missouri Scout
GS Strategy Group,194,GS Strategy Group,114,U.S. Chamber of Commerce
Public Policy Polling,383,Public Policy Polling,948,Health Care Voter
Mellman Group,299,Mellman Group,944,The Nevada Independent
Middle Tennessee State University,593,Middle Tennessee State University,NA,NA
Chism Strategies,1015,Chism Strategies,NA,NA
McLaughlin & Associates,294,McLaughlin & Associates,223,New Republican PAC
Clearview Research,1291,Clearview Research,NA,NA
Tarrance Group,468,Tarrance Group,27,NRSC
"Glengariff Group, Inc.",176,Glengariff Group Inc.,NA,NA
Dan Jones & Associates,120,Dan Jones & Associates,703,Salt Lake Tribune-Hinckley Institute
Dixie Strategies,753,Dixie Strategies,1118,Central Florida Post
Public Policy Polling,383,Public Policy Polling,978,The Majority Institute
Garin-Hart-Yang Research Group,172,Garin-Hart-Yang Research Group,24,DSCC
University of Mary Washington / PSRAI,1045,University of Mary Washington / PSRAI,NA,NA
"Fabrizio, Lee & Associates",147,"Fabrizio, Lee & Associates",26,Club for Growth
